1 , g1 , b20 , gift54
2 , g1 , b20 , gift22
3 , g1 , b20 , gift5
4 , g1 , b20 , gift155
5 , g1 , b20 , gift143
6 , g1 , b20 , gift12
7 , g1 , b20 , gift199
8 , g1 , b20 , gift72
9 , g1 , b20 , gift133
10 , g1 , b20 , gift140
11 , g1 , b20 , gift63
12 , g1 , b20 , gift50
13 , g1 , b20 , gift141
14 , g1 , b20 , gift168
15 , g1 , b20 , gift151
16 , g1 , b20 , gift101
17 , g1 , b20 , gift184
18 , g1 , b20 , gift137
19 , g1 , b20 , gift106
20 , g1 , b20 , gift17
21 , g1 , b20 , gift163
22 , g1 , b20 , gift173
23 , g1 , b20 , gift113
24 , g1 , b20 , gift75
25 , g1 , b20 , gift142
26 , g1 , b20 , gift52
27 , g1 , b20 , gift105
28 , g1 , b20 , gift66
29 , g1 , b20 , gift35
30 , g1 , b20 , gift169
31 , g1 , b20 , gift138
32 , g1 , b20 , gift43
33 , g1 , b20 , gift112
1 , g2 , b13 , gift54
2 , g2 , b13 , gift22
3 , g2 , b13 , gift5
4 , g2 , b13 , gift155
5 , g2 , b13 , gift143
6 , g2 , b13 , gift12
7 , g2 , b13 , gift199
8 , g2 , b13 , gift72
9 , g2 , b13 , gift133
10 , g2 , b13 , gift140
11 , g2 , b13 , gift63
12 , g2 , b13 , gift50
13 , g2 , b13 , gift141
14 , g2 , b13 , gift168
15 , g2 , b13 , gift151
16 , g2 , b13 , gift101
17 , g2 , b13 , gift184
18 , g2 , b13 , gift137
19 , g2 , b13 , gift106
20 , g2 , b13 , gift17
21 , g2 , b13 , gift163
22 , g2 , b13 , gift173
23 , g2 , b13 , gift113
24 , g2 , b13 , gift75
25 , g2 , b13 , gift142
26 , g2 , b13 , gift52
27 , g2 , b13 , gift105
28 , g2 , b13 , gift66
29 , g2 , b13 , gift35
30 , g2 , b13 , gift169
31 , g2 , b13 , gift138
32 , g2 , b13 , gift43
33 , g2 , b13 , gift112
34 , g2 , b13 , gift144
35 , g2 , b13 , gift97
36 , g2 , b13 , gift115
37 , g2 , b13 , 
38 , g2 , b13 , gift192
39 , g2 , b13 , gift200
40 , g2 , b13 , gift32
41 , g2 , b13 , gift31
42 , g2 , b13 , gift180
43 , g2 , b13 , gift59
44 , g2 , b13 , gift79
45 , g2 , b13 , gift111
46 , g2 , b13 , gift55
47 , g2 , b13 , gift103
48 , g2 , b13 , gift150
49 , g2 , b13 , gift67
50 , g2 , b13 , gift132
51 , g2 , b13 , gift193
52 , g2 , b13 , gift69
53 , g2 , b13 , gift188
54 , g2 , b13 , gift117
1 , g3 , b11 , gift54
2 , g3 , b11 , gift22
3 , g3 , b11 , gift5
4 , g3 , b11 , gift155
5 , g3 , b11 , gift143
6 , g3 , b11 , gift12
7 , g3 , b11 , gift199
8 , g3 , b11 , gift72
9 , g3 , b11 , gift133
10 , g3 , b11 , gift140
11 , g3 , b11 , gift63
12 , g3 , b11 , gift50
13 , g3 , b11 , gift141
14 , g3 , b11 , gift168
15 , g3 , b11 , gift151
16 , g3 , b11 , gift101
17 , g3 , b11 , gift184
18 , g3 , b11 , gift137
19 , g3 , b11 , gift106
20 , g3 , b11 , gift17
21 , g3 , b11 , gift163
22 , g3 , b11 , gift173
23 , g3 , b11 , gift113
24 , g3 , b11 , gift75
25 , g3 , b11 , gift142
26 , g3 , b11 , gift52
27 , g3 , b11 , gift105
28 , g3 , b11 , gift66
29 , g3 , b11 , gift35
30 , g3 , b11 , gift169
31 , g3 , b11 , gift138
32 , g3 , b11 , gift43
33 , g3 , b11 , gift112
34 , g3 , b11 , gift144
35 , g3 , b11 , gift97
36 , g3 , b11 , gift115
37 , g3 , b11 , 
38 , g3 , b11 , gift192
39 , g3 , b11 , gift200
40 , g3 , b11 , gift32
41 , g3 , b11 , gift31
42 , g3 , b11 , gift180
43 , g3 , b11 , gift59
44 , g3 , b11 , gift79
45 , g3 , b11 , gift111
46 , g3 , b11 , gift55
47 , g3 , b11 , gift103
48 , g3 , b11 , gift150
49 , g3 , b11 , gift67
50 , g3 , b11 , gift132
51 , g3 , b11 , gift193
52 , g3 , b11 , gift69
53 , g3 , b11 , gift188
54 , g3 , b11 , gift117
55 , g3 , b11 , gift197
56 , g3 , b11 , gift104
57 , g3 , b11 , gift107
58 , g3 , b11 , gift87
59 , g3 , b11 , gift9
60 , g3 , b11 , gift74
61 , g3 , b11 , gift14
62 , g3 , b11 , gift82
63 , g3 , b11 , gift131
64 , g3 , b11 , gift65
